Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth,Lat,Lon,Elevation,City
2024-02-01,46,37,41.5,7.8,23,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-02,46,38,42.0,8.2,23,0,0.32,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-03,43,32,37.5,3.6,27,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-04,46,31,38.5,4.5,26,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-05,45,32,38.5,4.3,26,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-06,42,29,35.5,1.2,29,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-07,48,33,40.5,6.1,24,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-08,53,37,45.0,10.4,20,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-09,55,43,49.0,14.2,16,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-10,60,47,53.5,18.6,11,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-11,56,43,49.5,14.4,15,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-12,48,37,42.5,7.2,22,0,T,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-13,41,33,37.0,1.6,28,0,0.77,3.2,1,40.78333,-73.96667,154,Central Park
2024-02-14,38,29,33.5,-2.1,31,0,T,T,2,40.78333,-73.96667,154,Central Park
2024-02-15,39,27,33.0,-2.8,32,0,0.00,0.0,T,40.78333,-73.96667,154,Central Park
2024-02-16,43,36,39.5,3.5,25,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-17,36,27,31.5,-4.7,33,0,0.18,2.0,2,40.78333,-73.96667,154,Central Park
2024-02-18,40,26,33.0,-3.4,32,0,0.00,0.0,T,40.78333,-73.96667,154,Central Park
2024-02-19,41,31,36.0,-0.6,29,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-20,40,26,33.0,-3.8,32,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-21,43,30,36.5,-0.5,28,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-22,45,35,40.0,2.8,25,0,0.04,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-23,47,42,44.5,7.1,20,0,0.04,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-24,44,28,36.0,-1.6,29,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-25,41,23,32.0,-5.9,33,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-26,55,35,45.0,6.9,20,0,0.01,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-27,55,40,47.5,9.2,17,0,0.52,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-28,62,44,53.0,14.5,12,0,0.17,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-29,43,31,37.0,-1.6,28,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-01,85,62,73.5,1.5,0,9,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-02,84,70,77.0,5.0,0,12,0.00,M,M,25.79,-80.32,10,Miami
2023-03-03,87,75,81.0,8.9,0,16,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-04,89,71,80.0,7.8,0,15,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-05,89,68,78.5,6.3,0,14,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-06,91,72,81.5,9.2,0,17,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-07,91,71,81.0,8.7,0,16,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-08,90,74,82.0,9.6,0,17,0.01,0.0,0,25.79,-80.32,10,Miami
2023-03-09,80,72,76.0,3.5,0,11,T,0.0,0,25.79,-80.32,10,Miami
2023-03-10,82,66,74.0,1.5,0,9,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-11,86,69,77.5,4.9,0,13,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-12,88,67,77.5,4.8,0,13,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-13,90,71,80.5,7.8,0,16,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-14,85,71,78.0,5.2,0,13,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-15,76,65,70.5,-2.4,0,6,0.03,0.0,0,25.79,-80.32,10,Miami
2023-03-16,77,59,68.0,-5.0,0,3,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-17,81,68,74.5,1.4,0,10,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-18,87,69,78.0,4.8,0,13,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-19,79,62,70.5,-2.7,0,6,0.08,0.0,0,25.79,-80.32,10,Miami
2023-03-20,77,59,68.0,-5.3,0,3,0.29,0.0,0,25.79,-80.32,10,Miami
2023-03-21,80,62,71.0,-2.4,0,6,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-22,82,66,74.0,0.5,0,9,0.00,0.0,M,25.79,-80.32,10,Miami
2023-03-23,83,73,78.0,4.4,0,13,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-24,85,70,77.5,3.7,0,13,0.03,0.0,0,25.79,-80.32,10,Miami
2023-03-25,86,74,80.0,6.1,0,15,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-26,86,75,80.5,6.5,0,16,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-27,87,75,81.0,6.9,0,16,0.00,0.0,0,25.79,-80.32,10,Miami
2023-03-28,88,74,81.0,6.8,0,16,0.18,0.0,0,25.79,-80.32,10,Miami
2023-03-29,88,68,78.0,3.6,0,13,0.39,0.0,0,25.79,-80.32,10,Miami
2023-03-30,78,72,75.0,0.5,0,10,3.49,0.0,0,25.79,-80.32,10,Miami
2023-03-31,83,73,78.0,3.4,0,13,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-01,86,73,79.5,4.8,0,15,0.51,0.0,0,25.79,-80.32,10,Miami
2023-04-02,90,72,81.0,6.1,0,16,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-03,86,73,79.5,4.5,0,15,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-04,86,76,81.0,5.8,0,16,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-05,87,77,82.0,6.7,0,17,T,0.0,0,25.79,-80.32,10,Miami
2023-04-06,87,77,82.0,6.6,0,17,T,0.0,0,25.79,-80.32,10,Miami
2023-04-07,85,77,81.0,5.4,0,16,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-08,86,75,80.5,4.8,0,16,0.04,0.0,0,25.79,-80.32,10,Miami
2023-04-09,88,72,80.0,4.1,0,15,T,0.0,0,25.79,-80.32,10,Miami
2023-04-10,80,70,75.0,-1.0,0,10,2.47,0.0,0,25.79,-80.32,10,Miami
2023-04-11,77,68,72.5,-3.6,0,8,2.76,0.0,0,25.79,-80.32,10,Miami
2023-04-12,76,69,72.5,-3.8,0,8,2.15,0.0,0,25.79,-80.32,10,Miami
2023-04-13,87,73,80.0,3.6,0,15,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-14,89,73,81.0,4.4,0,16,0.20,0.0,0,25.79,-80.32,10,Miami
2023-04-15,89,75,82.0,5.3,0,17,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-16,88,73,80.5,3.7,0,16,0.07,0.0,0,25.79,-80.32,10,Miami
2023-04-17,89,69,79.0,2.0,0,14,0.25,0.0,0,25.79,-80.32,10,Miami
2023-04-18,85,67,76.0,-1.1,0,11,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-19,83,70,76.5,-0.7,0,12,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-20,85,70,77.5,0.2,0,13,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-21,85,72,78.5,1.0,0,14,0.20,0.0,0,25.79,-80.32,10,Miami
2023-04-22,89,72,80.5,2.9,0,16,0.01,0.0,0,25.79,-80.32,10,Miami
2023-04-23,87,73,80.0,2.3,0,15,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-24,82,74,78.0,0.2,0,13,0.98,0.0,0,25.79,-80.32,10,Miami
2023-04-25,87,69,78.0,0.1,0,13,0.23,0.0,0,25.79,-80.32,10,Miami
2023-04-26,88,72,80.0,2.0,0,15,T,0.0,0,25.79,-80.32,10,Miami
2023-04-27,89,73,81.0,2.8,0,16,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-28,88,75,81.5,3.2,0,17,0.00,0.0,0,25.79,-80.32,10,Miami
2023-04-29,91,78,84.5,6.1,0,20,0.08,0.0,0,25.79,-80.32,10,Miami
2023-04-30,86,73,79.5,1.0,0,15,T,0.0,0,25.79,-80.32,10,Miami
2024-02-01,73,40,56.5,4.8,8,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-02,68,59,63.5,11.6,1,0,1.11,0.0,0,30.18,-97.68,486,Austin
2024-02-03,72,44,58.0,5.9,7,0,0.10,0.0,0,30.18,-97.68,486,Austin
2024-02-04,68,46,57.0,4.8,8,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-05,64,40,52.0,-0.4,13,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-06,69,36,52.5,-0.1,12,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-07,71,37,54.0,1.2,11,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-08,73,57,65.0,12.1,0,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-09,75,60,67.5,14.4,0,3,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-10,66,59,62.5,9.2,2,0,0.80,0.0,0,30.18,-97.68,486,Austin
2024-02-11,60,47,53.5,0.0,11,0,0.04,0.0,0,30.18,-97.68,486,Austin
2024-02-12,61,36,48.5,-5.2,16,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-13,67,31,49.0,-4.9,16,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-14,68,35,51.5,-2.6,13,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-15,69,56,62.5,8.2,2,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-16,73,52,62.5,8.0,2,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-17,52,37,44.5,-10.2,20,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-18,54,32,43.0,-11.9,22,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-19,68,28,48.0,-7.1,17,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-20,79,35,57.0,1.7,8,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-21,77,57,67.0,11.5,0,2,T,0.0,0,30.18,-97.68,486,Austin
2024-02-22,87,64,75.5,19.8,0,11,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-23,75,48,61.5,5.6,3,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-24,79,42,60.5,4.3,4,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-25,83,42,62.5,6.1,2,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-26,82,56,69.0,12.4,0,4,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-27,80,67,73.5,16.7,0,9,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-28,70,47,58.5,1.4,6,0,0.00,0.0,0,30.18,-97.68,486,Austin
2024-02-29,49,43,46.0,-11.2,19,0,0.04,0.0,0,30.18,-97.68,486,Austin
2023-03-01,44,33,38.5,-0.3,26,0,0.00,0.0,1,40.78333,-73.96667,154,Central Park
2023-03-02,54,39,46.5,7.5,18,0,T,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-03,47,37,42.0,2.8,23,0,0.15,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-04,45,38,41.5,2.0,23,0,0.99,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-05,53,38,45.5,5.8,19,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-06,52,40,46.0,6.0,19,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-07,47,33,40.0,-0.2,25,0,0.06,0.1,T,40.78333,-73.96667,154,Central Park
2023-03-08,48,31,39.5,-1.0,25,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-09,51,33,42.0,1.3,23,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-10,46,35,40.5,-0.5,24,0,0.36,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-11,45,35,40.0,-1.2,25,0,0.40,T,0,40.78333,-73.96667,154,Central Park
2023-03-12,48,34,41.0,-0.5,24,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-13,45,38,41.5,-0.3,23,0,0.67,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-14,38,33,35.5,-6.6,29,0,0.13,T,0,40.78333,-73.96667,154,Central Park
2023-03-15,45,34,39.5,-2.8,25,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-16,59,34,46.5,3.9,18,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-17,60,47,53.5,10.6,11,0,T,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-18,56,40,48.0,4.8,17,0,0.02,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-19,40,29,34.5,-9.0,30,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-20,51,31,41.0,-2.9,24,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-21,63,40,51.5,7.3,13,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-22,62,48,55.0,10.5,10,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-23,60,48,54.0,9.2,11,0,0.09,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-24,55,44,49.5,4.3,15,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-25,47,42,44.5,-1.0,20,0,0.15,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-26,63,44,53.5,7.6,11,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-27,62,43,52.5,6.3,12,0,0.29,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-28,52,42,47.0,0.4,18,0,T,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-29,55,39,47.0,0.1,18,0,T,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-30,46,31,38.5,-8.8,26,0,0.01,0.0,0,40.78333,-73.96667,154,Central Park
2023-03-31,57,38,47.5,-0.2,17,0,0.00,0.0,0,40.78333,-73.96667,154,Central Park
2024-02-01,56,36,46.0,19.7,19,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-02,43,33,38.0,11.5,27,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-03,40,31,35.5,8.8,29,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-04,47,32,39.5,12.6,25,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-05,44,33,38.5,11.4,26,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-06,43,33,38.0,10.7,27,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-07,48,30,39.0,11.5,26,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-08,60,47,53.5,25.8,11,0,0.17,0.0,0,41.78,-87.76,617,Chicago
2024-02-09,58,38,48.0,20.0,17,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-10,43,33,38.0,9.7,27,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-11,43,29,36.0,7.5,29,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-12,46,25,35.5,6.7,29,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-13,42,30,36.0,6.9,29,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-14,48,27,37.5,8.1,27,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-15,46,32,39.0,9.3,26,0,0.06,0.0,0,41.78,-87.76,617,Chicago
2024-02-16,33,22,27.5,-2.6,37,0,T,T,0,41.78,-87.76,617,Chicago
2024-02-17,30,14,22.0,-8.4,43,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-18,47,24,35.5,4.8,29,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-19,52,26,39.0,7.9,26,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-20,58,32,45.0,13.6,20,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-21,68,46,57.0,25.2,8,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-22,61,46,53.5,21.4,11,0,T,0.0,7,41.78,-87.76,617,Chicago
2024-02-23,52,29,40.5,8.0,24,0,0.15,2.2,2,41.78,-87.76,617,Chicago
2024-02-24,36,24,30.0,-2.8,35,0,T,T,T,41.78,-87.76,617,Chicago
2024-02-25,62,32,47.0,13.8,18,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-26,72,42,57.0,23.4,8,0,0.00,0.0,0,41.78,-87.76,617,Chicago
2024-02-27,74,53,63.5,29.6,1,0,0.51,0.0,0,41.78,-87.76,617,Chicago
